Industry_id,Industry,Sector_id
1,Social Assistance,1
2,Health Care Services & Hospitals,2
3,Internet,3
4,Investment Banking & Asset Management,4
5,Research & Development,5
6,Brokerage Services,4
7,Building & Personnel Services,5
8,Advertising & Marketing,5
9,Lending,4
10,Banks & Credit Unions,4
11,Computer Hardware & Software,3
12,Staffing & Outsourcing,5
13,Motion Picture Production & Distribution,6
14,-1,7
15,IT Services,3
16,Federal Agencies,8
17,TV Broadcast & Cable Networks,6
18,Accounting,9
19,Consulting,5
20,Insurance Carriers,10
21,"Health, Beauty, & Fitness",11
22,Gambling,12
23,Colleges & Universities,13
24,Enterprise Software & Network Solutions,3
25,Video Games,6
26,General Repair & Maintenance,14
27,Security Services,5
28,News Outlet,6
29,Biotech & Pharmaceuticals,15
30,Publishing,6
31,Energy,16
32,Other Retail Stores,17
33,Health Fundraising Organizations,1
34,Utilities,16
35,Consumer Products Manufacturing,18
36,Industrial Manufacturing,18
37,Preschool & Child Care,13
38,Aerospace & Defense,19
39,Architectural & Engineering Services,5
40,Food & Beverage Manufacturing,18
41,Vehicle Dealers,17
42,Commercial Equipment Repair & Maintenance,14
43,Telecommunications Services,20
44,Real Estate,21
45,Automotive Parts & Accessories Stores,17
46,Chemical Manufacturing,18
47,"Department, Clothing, & Shoe Stores",17
48,K-12 Education,13
49,Transportation Management,22
50,Miscellaneous Manufacturing,18
51,Financial Transaction Processing,4
52,Municipal Governments,8
53,Construction,14
54,Venture Capital & Private Equity,4
55,Catering & Food Service Contractors,23
56,Health Care Products Manufacturing,18
57,Drug & Health Stores,17
58,Wholesale,5
59,Membership Organizations,5
60,Logistics & Supply Chain,22
61,Food & Beverage Stores,17
62,Oil & Gas Services,16
63,Sporting Goods Stores,17
64,Electrical & Electronic Manufacturing,18
65,Gas Stations,17
66,Truck Rental & Leasing,22
67,Express Delivery Services,22
68,Grocery Stores & Supermarkets,17
69,Pet & Pet Supplies Stores,17
70,Education Training Services,13
71,Audiovisual,12
72,Financial Analytics & Research,4
73,Insurance Agencies & Brokerages,10
74,State & Regional Agencies,8
75,Trucking,22
76,Stock Exchanges,4
77,Home Centers & Hardware Stores,17
78,Beauty & Personal Accessories Stores,17
79,Casual Restaurants,23
80,General Merchandise & Superstores,17
81,"Cable, Internet & Telephone Providers",20
82,Home Furniture & Housewares Stores,17
83,Shipping,22
84,Convenience Stores & Truck Stops,23
85,"Hotels, Motels, & Resorts",24
86,Religious Organizations,1
87,Food Production,25
88,Travel Agencies,24
89,Laundry & Dry Cleaning,11
90,Radio,6
91,Transportation Equipment Manufacturing,18
92,Fast-Food & Quick-Service Restaurants,23
93,Airlines,24
94,Farm Support Services,25
95,Metal & Mineral Manufacturing,18
96,Bus Transportation Services,24
97,Telecommunications Manufacturing,20
98,Grantmaking Foundations,1
99,Photography,12
100,Oil & Gas Exploration & Production,16
101,Legal,9
102,Rail,22
103,Sports & Recreation,12
104,Self-Storage Services,11
105,Auto Repair & Maintenance,14
106,Consumer Product Rental,11
107,Consumer Electronics & Appliances Stores,17
108,Cruise Ships,24
109,Metals Brokers,26
110,"Museums, Zoos & Amusement Parks",12
