Sector_id,Sector
1,Non-Profit
2,Health Care
3,Information Technology
4,Finance
5,Business Services
6,Media
7,-1
8,Government
9,Accounting & Legal
10,Insurance
11,Consumer Services
12,"Arts, Entertainment & Recreation"
13,Education
14,"Construction, Repair & Maintenance"
15,Biotech & Pharmaceuticals
16,"Oil, Gas, Energy & Utilities"
17,Retail
18,Manufacturing
19,Aerospace & Defense
20,Telecommunications
21,Real Estate
22,Transportation & Logistics
23,"Restaurants, Bars & Food Services"
24,Travel & Tourism
25,Agriculture & Forestry
26,Mining & Metals
